"latin_binomial"	"common_name"	"pt"	"max"
Bixa orellana	Lipsticktree	Rocou	eb88cf6c-e4b0-43e5-91f5-b3760e850786
Bixa orellana	Rocou	Rocou	eb88cf6c-e4b0-43e5-91f5-b3760e850786
Borago officinalis	Beebread	Talewort	de19fd62-5387-4e90-be32-a002478c2147
Borago officinalis	Beeplant	Talewort	de19fd62-5387-4e90-be32-a002478c2147
Borago officinalis	Borage	Talewort	de19fd62-5387-4e90-be32-a002478c2147
Borago officinalis	Star-flower	Talewort	de19fd62-5387-4e90-be32-a002478c2147
Borago officinalis	Talewort	Talewort	de19fd62-5387-4e90-be32-a002478c2147
Brassica juncea	Indian mustard	Oriental mustard	a20a9b31-f756-4a5f-b6a6-a6ba657a71c3
Brassica juncea	Oriental mustard	Oriental mustard	a20a9b31-f756-4a5f-b6a6-a6ba657a71c3
Brassica oleracea	Colza	Seed- rape	"91044836-f290-4d53-b50b-f84a8f3cc1fd"
Brassica oleracea	Rape	Seed- rape	"91044836-f290-4d53-b50b-f84a8f3cc1fd"
Brassica oleracea	Rape seed	Seed- rape	"91044836-f290-4d53-b50b-f84a8f3cc1fd"
Brassica oleracea	Seed- rape	Seed- rape	"91044836-f290-4d53-b50b-f84a8f3cc1fd"
Brassica rapa	Rapini	Tyfon	"80e85b16-e0ab-4231-b07a-c103574920d3"
Brassica rapa	Seven-top turnip	Tyfon	"80e85b16-e0ab-4231-b07a-c103574920d3"
Brassica rapa	Turnip	Tyfon	"80e85b16-e0ab-4231-b07a-c103574920d3"
Brassica rapa	Tyfon	Tyfon	"80e85b16-e0ab-4231-b07a-c103574920d3"
Bupleurum chinense	Bei chai hu	Hare's-ear	"874947bb-fdf5-4f3d-aef0-b1f5f92106f6"
Bupleurum chinense	Bupleurum	Hare's-ear	"874947bb-fdf5-4f3d-aef0-b1f5f92106f6"
Bupleurum chinense	Chai hu	Hare's-ear	"874947bb-fdf5-4f3d-aef0-b1f5f92106f6"
Bupleurum chinense	Chinese thoroughwax	Hare's-ear	"874947bb-fdf5-4f3d-aef0-b1f5f92106f6"
Bupleurum chinense	Hare's-ear	Hare's-ear	"874947bb-fdf5-4f3d-aef0-b1f5f92106f6"
Calluna vulgaris	Common heather	Scots heather	ee84a244-e748-46dd-8606-0dd58c4c855b
Calluna vulgaris	Heather	Scots heather	ee84a244-e748-46dd-8606-0dd58c4c855b
Calluna vulgaris	Ling	Scots heather	ee84a244-e748-46dd-8606-0dd58c4c855b
Calluna vulgaris	Red-heath	Scots heather	ee84a244-e748-46dd-8606-0dd58c4c855b
Calluna vulgaris	Scotch heather	Scots heather	ee84a244-e748-46dd-8606-0dd58c4c855b
Calluna vulgaris	Scots heather	Scots heather	ee84a244-e748-46dd-8606-0dd58c4c855b
Camellia sinensis	Black tea	Green tea	e9698137-24da-46f8-a70e-43e27691491f
Camellia sinensis	Green tea	Green tea	e9698137-24da-46f8-a70e-43e27691491f
Camellia sinensis	Oolong tea	Green tea	e9698137-24da-46f8-a70e-43e27691491f
Camellia sinensis	Tea	Green tea	e9698137-24da-46f8-a70e-43e27691491f
Camellia sinensis	White Tea	Green tea	e9698137-24da-46f8-a70e-43e27691491f
Cannabis sativa	Cannibidiol	Hemp extract	f172ae99-9515-4bff-a8ed-4e68afad1b1d
Cannabis sativa	CBD	Hemp extract	f172ae99-9515-4bff-a8ed-4e68afad1b1d
Cannabis sativa	Da ma	Hemp extract	f172ae99-9515-4bff-a8ed-4e68afad1b1d
Cannabis sativa	Hemp	Hemp extract	f172ae99-9515-4bff-a8ed-4e68afad1b1d
Cannabis sativa	Hemp extract	Hemp extract	f172ae99-9515-4bff-a8ed-4e68afad1b1d
Cannabis sativa	Marijuana	Hemp extract	f172ae99-9515-4bff-a8ed-4e68afad1b1d
Capparis spinosa	Caper	Caperbush	"78c2e6a4-3c84-45d9-88b0-40b90feaf767"
Capparis spinosa	Caperbush	Caperbush	"78c2e6a4-3c84-45d9-88b0-40b90feaf767"
Capsella bursa	Shepherd's-purse	Shepherd's-purse	d7b8b8b8-8807-48c2-bac1-4ee0acb2206d
Castanea dentata	Americanchestnut	Americanchestnut	df7d2d71-a815-43d0-8e69-5c571c83688a
Castanea sativa	European chestnut	Sweet chestnut	c1e8fcf0-2265-4445-b2d6-60b31e3a4ea2
Castanea sativa	Sweet chestnut	Sweet chestnut	c1e8fcf0-2265-4445-b2d6-60b31e3a4ea2
Caulophyllum thalictroides	Blue cohosh	Squawroot	"852e9c60-681b-439e-a4f8-d05d8e5249ec"
Caulophyllum thalictroides	Caulophyllum	Squawroot	"852e9c60-681b-439e-a4f8-d05d8e5249ec"
Caulophyllum thalictroides	Papooseroott	Squawroot	"852e9c60-681b-439e-a4f8-d05d8e5249ec"
Caulophyllum thalictroides	Squawroot	Squawroot	"852e9c60-681b-439e-a4f8-d05d8e5249ec"
Centaurium erythraea	Centaury	Small centaury	"8aeb256f-62d0-4b48-9b2f-4d0d62909281"
Centaurium erythraea	Common centaury	Small centaury	"8aeb256f-62d0-4b48-9b2f-4d0d62909281"
Centaurium erythraea	European centaury	Small centaury	"8aeb256f-62d0-4b48-9b2f-4d0d62909281"
Centaurium erythraea	Small centaury	Small centaury	"8aeb256f-62d0-4b48-9b2f-4d0d62909281"
Ceratonia siliqua	Bread- St John's	St. John's-bread	b1e452d7-66de-4f5d-856a-1569bd6c9cf5
Ceratonia siliqua	Carob	St. John's-bread	b1e452d7-66de-4f5d-856a-1569bd6c9cf5
Ceratonia siliqua	Ceratonia	St. John's-bread	b1e452d7-66de-4f5d-856a-1569bd6c9cf5
Ceratonia siliqua	Locust-bean	St. John's-bread	b1e452d7-66de-4f5d-856a-1569bd6c9cf5
Ceratonia siliqua	St John's bread	St. John's-bread	b1e452d7-66de-4f5d-856a-1569bd6c9cf5
Ceratonia siliqua	St. John's-bread	St. John's-bread	b1e452d7-66de-4f5d-856a-1569bd6c9cf5
Chelidonium majus	Celandine	Swallowwort	"5003576d-7ae4-4a84-a6ea-34fc3a8c21f2"
Chelidonium majus	Great celandine	Swallowwort	"5003576d-7ae4-4a84-a6ea-34fc3a8c21f2"
Chelidonium majus	Greater celandine	Swallowwort	"5003576d-7ae4-4a84-a6ea-34fc3a8c21f2"
Chelidonium majus	Nipplewort	Swallowwort	"5003576d-7ae4-4a84-a6ea-34fc3a8c21f2"
Chelidonium majus	Swallowwort	Swallowwort	"5003576d-7ae4-4a84-a6ea-34fc3a8c21f2"
Chimaphila umbellata	Bitter wintergreen	Prince's-pine	fe7c3af9-3a3b-49f2-b922-43dcabda624b
Chimaphila umbellata	Ground ivy	Prince's-pine	fe7c3af9-3a3b-49f2-b922-43dcabda624b
Chimaphila umbellata	Pipsissewa	Prince's-pine	fe7c3af9-3a3b-49f2-b922-43dcabda624b
Chimaphila umbellata	Pipsissiwa	Prince's-pine	fe7c3af9-3a3b-49f2-b922-43dcabda624b
Chimaphila umbellata	Prince's-pine	Prince's-pine	fe7c3af9-3a3b-49f2-b922-43dcabda624b
Chionanthus virginicus	Fringetree	Poison-ash	"9d7449b7-d5d9-4e6c-a6eb-b1f222da8b3e"
Chionanthus virginicus	Old-man's-beard	Poison-ash	"9d7449b7-d5d9-4e6c-a6eb-b1f222da8b3e"
Chionanthus virginicus	Poison-ash	Poison-ash	"9d7449b7-d5d9-4e6c-a6eb-b1f222da8b3e"
Cichorium intybus	Belgium endive	Radicchio	e9f80dbc-f9b0-4919-b2dc-d3e8a67e8844
Cichorium intybus	Chicory	Radicchio	e9f80dbc-f9b0-4919-b2dc-d3e8a67e8844
Cichorium intybus	Radicchio	Radicchio	e9f80dbc-f9b0-4919-b2dc-d3e8a67e8844
Cinnamomum burmanni	Bataviacinnamon	Bataviacinnamon	eade8733-1819-4816-a05a-86d60639c181
Cinnamomum camphora	Camphor	Kuso-no-ki	e5667b3e-c315-49f1-9347-ae77b1f7df47
Cinnamomum camphora	Camphor laurel	Kuso-no-ki	e5667b3e-c315-49f1-9347-ae77b1f7df47
Cinnamomum camphora	Camphor tree	Kuso-no-ki	e5667b3e-c315-49f1-9347-ae77b1f7df47
Cinnamomum camphora	Camphortree	Kuso-no-ki	e5667b3e-c315-49f1-9347-ae77b1f7df47
Cinnamomum camphora	Japanese camphor	Kuso-no-ki	e5667b3e-c315-49f1-9347-ae77b1f7df47
Cinnamomum camphora	Kuso-no-ki	Kuso-no-ki	e5667b3e-c315-49f1-9347-ae77b1f7df47
Cinnamomum cassia	Cassia	Cinnamon	"9e19900a-c256-4161-a4cb-37967de32e4f"
