"concept_id_1"	"concept_id_2"	"relationship_id"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-7000191	-7001008	napdi_pt	2000-01-01	2099-02-22	""
-7000190	-7001008	napdi_pt	2000-01-01	2099-02-22	""
-7000192	-7001008	napdi_pt	2000-01-01	2099-02-22	""
-7000193	-7001008	napdi_pt	2000-01-01	2099-02-22	""
-7000189	-7001008	napdi_pt	2000-01-01	2099-02-22	""
-7000268	-7001009	napdi_pt	2000-01-01	2099-02-22	""
-7000269	-7001009	napdi_pt	2000-01-01	2099-02-22	""
-7000096	-7001010	napdi_pt	2000-01-01	2099-02-22	""
-7000656	-7001011	napdi_pt	2000-01-01	2099-02-22	""
-7000657	-7001011	napdi_pt	2000-01-01	2099-02-22	""
-7000504	-7001012	napdi_pt	2000-01-01	2099-02-22	""
-7000505	-7001012	napdi_pt	2000-01-01	2099-02-22	""
-7000506	-7001012	napdi_pt	2000-01-01	2099-02-22	""
-7000507	-7001012	napdi_pt	2000-01-01	2099-02-22	""
-7000438	-7001013	napdi_pt	2000-01-01	2099-02-22	""
-7000439	-7001013	napdi_pt	2000-01-01	2099-02-22	""
-7000794	-7001014	napdi_pt	2000-01-01	2099-02-22	""
-7000792	-7001014	napdi_pt	2000-01-01	2099-02-22	""
-7000793	-7001014	napdi_pt	2000-01-01	2099-02-22	""
-7000795	-7001014	napdi_pt	2000-01-01	2099-02-22	""
-7000791	-7001014	napdi_pt	2000-01-01	2099-02-22	""
-7000790	-7001014	napdi_pt	2000-01-01	2099-02-22	""
-7000202	-7001015	napdi_pt	2000-01-01	2099-02-22	""
-7000179	-7001016	napdi_pt	2000-01-01	2099-02-22	""
-7000182	-7001016	napdi_pt	2000-01-01	2099-02-22	""
-7000181	-7001016	napdi_pt	2000-01-01	2099-02-22	""
-7000178	-7001016	napdi_pt	2000-01-01	2099-02-22	""
-7000180	-7001016	napdi_pt	2000-01-01	2099-02-22	""
-7000752	-7001017	napdi_pt	2000-01-01	2099-02-22	""
-7000753	-7001017	napdi_pt	2000-01-01	2099-02-22	""
-7000754	-7001017	napdi_pt	2000-01-01	2099-02-22	""
-7000755	-7001017	napdi_pt	2000-01-01	2099-02-22	""
-7000945	-7001018	napdi_pt	2000-01-01	2099-02-22	""
-7000944	-7001018	napdi_pt	2000-01-01	2099-02-22	""
-7000943	-7001018	napdi_pt	2000-01-01	2099-02-22	""
-7000942	-7001018	napdi_pt	2000-01-01	2099-02-22	""
-7000234	-7001019	napdi_pt	2000-01-01	2099-02-22	""
-7000233	-7001019	napdi_pt	2000-01-01	2099-02-22	""
-7000235	-7001019	napdi_pt	2000-01-01	2099-02-22	""
-7000199	-7001020	napdi_pt	2000-01-01	2099-02-22	""
-7000200	-7001020	napdi_pt	2000-01-01	2099-02-22	""
-7000909	-7001021	napdi_pt	2000-01-01	2099-02-22	""
-7000236	-7001022	napdi_pt	2000-01-01	2099-02-22	""
-7000276	-7001023	napdi_pt	2000-01-01	2099-02-22	""
-7000277	-7001023	napdi_pt	2000-01-01	2099-02-22	""
-7000201	-7001024	napdi_pt	2000-01-01	2099-02-22	""
-7000641	-7001025	napdi_pt	2000-01-01	2099-02-22	""
-7000640	-7001025	napdi_pt	2000-01-01	2099-02-22	""
-7000621	-7001026	napdi_pt	2000-01-01	2099-02-22	""
-7000622	-7001026	napdi_pt	2000-01-01	2099-02-22	""
-7000623	-7001026	napdi_pt	2000-01-01	2099-02-22	""
-7000620	-7001026	napdi_pt	2000-01-01	2099-02-22	""
-7000336	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000333	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000331	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000338	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000339	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000332	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000334	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000337	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000335	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000330	-7001027	napdi_pt	2000-01-01	2099-02-22	""
-7000841	-7001028	napdi_pt	2000-01-01	2099-02-22	""
-7000840	-7001028	napdi_pt	2000-01-01	2099-02-22	""
-7000239	-7001029	napdi_pt	2000-01-01	2099-02-22	""
-7000240	-7001029	napdi_pt	2000-01-01	2099-02-22	""
-7000238	-7001029	napdi_pt	2000-01-01	2099-02-22	""
-7000241	-7001029	napdi_pt	2000-01-01	2099-02-22	""
-7000242	-7001029	napdi_pt	2000-01-01	2099-02-22	""
-7000237	-7001029	napdi_pt	2000-01-01	2099-02-22	""
-7000799	-7001030	napdi_pt	2000-01-01	2099-02-22	""
-7000798	-7001030	napdi_pt	2000-01-01	2099-02-22	""
-7000488	-7001031	napdi_pt	2000-01-01	2099-02-22	""
-7000486	-7001031	napdi_pt	2000-01-01	2099-02-22	""
-7000487	-7001031	napdi_pt	2000-01-01	2099-02-22	""
-7000962	-7001032	napdi_pt	2000-01-01	2099-02-22	""
-7000961	-7001032	napdi_pt	2000-01-01	2099-02-22	""
-7000206	-7001033	napdi_pt	2000-01-01	2099-02-22	""
-7000205	-7001033	napdi_pt	2000-01-01	2099-02-22	""
-7000207	-7001033	napdi_pt	2000-01-01	2099-02-22	""
-7000208	-7001033	napdi_pt	2000-01-01	2099-02-22	""
-7000770	-7001034	napdi_pt	2000-01-01	2099-02-22	""
-7000771	-7001034	napdi_pt	2000-01-01	2099-02-22	""
-7000769	-7001034	napdi_pt	2000-01-01	2099-02-22	""
-7000107	-7001035	napdi_pt	2000-01-01	2099-02-22	""
-7000722	-7001036	napdi_pt	2000-01-01	2099-02-22	""
-7000721	-7001036	napdi_pt	2000-01-01	2099-02-22	""
-7000723	-7001036	napdi_pt	2000-01-01	2099-02-22	""
-7000615	-7001037	napdi_pt	2000-01-01	2099-02-22	""
-7000614	-7001037	napdi_pt	2000-01-01	2099-02-22	""
-7000865	-7001038	napdi_pt	2000-01-01	2099-02-22	""
-7000866	-7001038	napdi_pt	2000-01-01	2099-02-22	""
-7000637	-7001039	napdi_pt	2000-01-01	2099-02-22	""
-7000638	-7001039	napdi_pt	2000-01-01	2099-02-22	""
-7000639	-7001039	napdi_pt	2000-01-01	2099-02-22	""
-7000382	-7001040	napdi_pt	2000-01-01	2099-02-22	""
-7000381	-7001040	napdi_pt	2000-01-01	2099-02-22	""
-7000380	-7001040	napdi_pt	2000-01-01	2099-02-22	""
-7000355	-7001041	napdi_pt	2000-01-01	2099-02-22	""
-7000356	-7001041	napdi_pt	2000-01-01	2099-02-22	""
-7000315	-7001042	napdi_pt	2000-01-01	2099-02-22	""
-7000667	-7001043	napdi_pt	2000-01-01	2099-02-22	""
-7000672	-7001043	napdi_pt	2000-01-01	2099-02-22	""
-7000668	-7001043	napdi_pt	2000-01-01	2099-02-22	""
-7000669	-7001043	napdi_pt	2000-01-01	2099-02-22	""
-7000671	-7001043	napdi_pt	2000-01-01	2099-02-22	""
-7000666	-7001043	napdi_pt	2000-01-01	2099-02-22	""
-7000670	-7001043	napdi_pt	2000-01-01	2099-02-22	""
-7000326	-7001044	napdi_pt	2000-01-01	2099-02-22	""
-7000203	-7001045	napdi_pt	2000-01-01	2099-02-22	""
-7000204	-7001045	napdi_pt	2000-01-01	2099-02-22	""
-7000344	-7001046	napdi_pt	2000-01-01	2099-02-22	""
-7000346	-7001046	napdi_pt	2000-01-01	2099-02-22	""
-7000345	-7001046	napdi_pt	2000-01-01	2099-02-22	""
-7000048	-7001047	napdi_pt	2000-01-01	2099-02-22	""
-7000045	-7001047	napdi_pt	2000-01-01	2099-02-22	""
-7000046	-7001047	napdi_pt	2000-01-01	2099-02-22	""
-7000047	-7001047	napdi_pt	2000-01-01	2099-02-22	""
-7000044	-7001047	napdi_pt	2000-01-01	2099-02-22	""
-7000043	-7001047	napdi_pt	2000-01-01	2099-02-22	""
-7000934	-7001048	napdi_pt	2000-01-01	2099-02-22	""
-7000933	-7001048	napdi_pt	2000-01-01	2099-02-22	""
-7000253	-7001049	napdi_pt	2000-01-01	2099-02-22	""
-7000313	-7001050	napdi_pt	2000-01-01	2099-02-22	""
-7000309	-7001050	napdi_pt	2000-01-01	2099-02-22	""
-7000310	-7001050	napdi_pt	2000-01-01	2099-02-22	""
-7000314	-7001050	napdi_pt	2000-01-01	2099-02-22	""
-7000311	-7001050	napdi_pt	2000-01-01	2099-02-22	""
-7000312	-7001050	napdi_pt	2000-01-01	2099-02-22	""
-7000134	-7001051	napdi_pt	2000-01-01	2099-02-22	""
-7000577	-7001052	napdi_pt	2000-01-01	2099-02-22	""
-7000578	-7001052	napdi_pt	2000-01-01	2099-02-22	""
-7000579	-7001052	napdi_pt	2000-01-01	2099-02-22	""
-7000703	-7001053	napdi_pt	2000-01-01	2099-02-22	""
-7000702	-7001053	napdi_pt	2000-01-01	2099-02-22	""
-7000705	-7001053	napdi_pt	2000-01-01	2099-02-22	""
-7000704	-7001053	napdi_pt	2000-01-01	2099-02-22	""
-7000282	-7001054	napdi_pt	2000-01-01	2099-02-22	""
-7000928	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000932	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000925	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000924	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000477	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000926	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000478	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000927	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000931	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000476	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000930	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000929	-7001055	napdi_pt	2000-01-01	2099-02-22	""
-7000067	-7001056	napdi_pt	2000-01-01	2099-02-22	""
-7000169	-7001057	napdi_pt	2000-01-01	2099-02-22	""
-7000168	-7001057	napdi_pt	2000-01-01	2099-02-22	""
-7000211	-7001058	napdi_pt	2000-01-01	2099-02-22	""
-7000212	-7001058	napdi_pt	2000-01-01	2099-02-22	""
-7000209	-7001058	napdi_pt	2000-01-01	2099-02-22	""
-7000210	-7001058	napdi_pt	2000-01-01	2099-02-22	""
