"concept_id"	"concept_name"	"domain_id"	"vocabulary_id"	"concept_class_id"	"standard_concept"	"concept_code"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-7000075	Gobo[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000076	Goboshi[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000077	Great burdock[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000078	Great burdocks[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000079	Greater burdock[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000080	Hardock[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000081	Harebur[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000082	Lappa[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000083	Niu bang zi[Arctium lappa]	NaPDI research	NAPDI	Niu bang zi	""	"81a9ab25-522a-44a7-bead-32506749ed45"	2000-01-01	2099-02-22	""
-7000084	Bearberry[Arctostaphylos uva]	NaPDI research	NAPDI	Uva ursi	""	"3897d60f-f13c-4757-9aec-899df24e3c45"	2000-01-01	2099-02-22	""
-7000085	Kinnikinnick[Arctostaphylos uva]	NaPDI research	NAPDI	Uva ursi	""	"3897d60f-f13c-4757-9aec-899df24e3c45"	2000-01-01	2099-02-22	""
-7000086	Uva ursi[Arctostaphylos uva]	NaPDI research	NAPDI	Uva ursi	""	"3897d60f-f13c-4757-9aec-899df24e3c45"	2000-01-01	2099-02-22	""
-7000087	Coralberry[Ardisia crenata]	NaPDI research	NAPDI	Zhu sha gen	""	"503c1e90-1497-4422-8619-3a78d64f1c6e"	2000-01-01	2099-02-22	""
-7000088	Coralberry tree[Ardisia crenata]	NaPDI research	NAPDI	Zhu sha gen	""	"503c1e90-1497-4422-8619-3a78d64f1c6e"	2000-01-01	2099-02-22	""
-7000089	Coral bush[Ardisia crenata]	NaPDI research	NAPDI	Zhu sha gen	""	"503c1e90-1497-4422-8619-3a78d64f1c6e"	2000-01-01	2099-02-22	""
-7000090	Hen's-eyes[Ardisia crenata]	NaPDI research	NAPDI	Zhu sha gen	""	"503c1e90-1497-4422-8619-3a78d64f1c6e"	2000-01-01	2099-02-22	""
-7000091	Koraalbessieboom[Ardisia crenata]	NaPDI research	NAPDI	Zhu sha gen	""	"503c1e90-1497-4422-8619-3a78d64f1c6e"	2000-01-01	2099-02-22	""
-7000092	Spiceberry[Ardisia crenata]	NaPDI research	NAPDI	Zhu sha gen	""	"503c1e90-1497-4422-8619-3a78d64f1c6e"	2000-01-01	2099-02-22	""
-7000093	Zhu sha gen[Ardisia crenata]	NaPDI research	NAPDI	Zhu sha gen	""	"503c1e90-1497-4422-8619-3a78d64f1c6e"	2000-01-01	2099-02-22	""
-7000094	Areca palm[Areca catechu]	NaPDI research	NAPDI	Bing lang	""	"3e51c944-3465-4ba3-a989-039028317b6e"	2000-01-01	2099-02-22	""
-7000095	Bing lang[Areca catechu]	NaPDI research	NAPDI	Bing lang	""	"3e51c944-3465-4ba3-a989-039028317b6e"	2000-01-01	2099-02-22	""
-7000096	Maqui[Aristotelia chilensis]	NaPDI research	NAPDI	Maqui	""	d9624ec5-9af4-4393-95be-c85b3019e8b6	2000-01-01	2099-02-22	""
-7000097	Absinthe[Artemisia absinthium]	NaPDI research	NAPDI	Wormwood	""	"09e729e6-69b9-4302-88f9-40370dd931ea"	2000-01-01	2099-02-22	""
-7000098	Absinthe wormwood[Artemisia absinthium]	NaPDI research	NAPDI	Wormwood	""	"09e729e6-69b9-4302-88f9-40370dd931ea"	2000-01-01	2099-02-22	""
-7000099	Absinthium[Artemisia absinthium]	NaPDI research	NAPDI	Wormwood	""	"09e729e6-69b9-4302-88f9-40370dd931ea"	2000-01-01	2099-02-22	""
-7000100	Wormwood[Artemisia absinthium]	NaPDI research	NAPDI	Wormwood	""	"09e729e6-69b9-4302-88f9-40370dd931ea"	2000-01-01	2099-02-22	""
-7000101	Huang hua hao[Artemisia annua]	NaPDI research	NAPDI	Sweet wormwood	""	"9b410175-b937-4457-abd4-1f560a05ffdf"	2000-01-01	2099-02-22	""
-7000102	Sweet Annie[Artemisia annua]	NaPDI research	NAPDI	Sweet wormwood	""	"9b410175-b937-4457-abd4-1f560a05ffdf"	2000-01-01	2099-02-22	""
-7000103	Sweet wormwood[Artemisia annua]	NaPDI research	NAPDI	Sweet wormwood	""	"9b410175-b937-4457-abd4-1f560a05ffdf"	2000-01-01	2099-02-22	""
-7000104	Breadfruit[Artocarpus altilis]	NaPDI research	NAPDI	Breadfruit	""	"1199d0d2-76bc-4ef2-af9e-d1460f644638"	2000-01-01	2099-02-22	""
-7000105	Shatamuli[Asparagus racemosus]	NaPDI research	NAPDI	Shatavari	""	d66f339c-b862-4658-9e18-1d5a91b2ad1e	2000-01-01	2099-02-22	""
-7000106	Shatavari[Asparagus racemosus]	NaPDI research	NAPDI	Shatavari	""	d66f339c-b862-4658-9e18-1d5a91b2ad1e	2000-01-01	2099-02-22	""
-7000107	Maocangzhu[Atractylodes lancea]	NaPDI research	NAPDI	Maocangzhu	""	"59b727fc-3c6e-4436-bb45-d5fe7a5f7351"	2000-01-01	2099-02-22	""
-7000108	Bai zhu[Atractylodes macrocephala]	NaPDI research	NAPDI	White Atractylodes	""	"89b3f47a-cdff-4029-94d4-469a32824b91"	2000-01-01	2099-02-22	""
-7000109	Bai zhu atractylodes[Atractylodes macrocephala]	NaPDI research	NAPDI	White Atractylodes	""	"89b3f47a-cdff-4029-94d4-469a32824b91"	2000-01-01	2099-02-22	""
